Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo,
2026/4/11,3,表,1,0,1,-,-,-,藤川泰斗,左,山本翔士,左,ストレート,,13,,ボール,,,,,0,0,,
2026/4/11,3,表,2,0,1,-,-,-,藤川泰斗,左,山本翔士,左,ストレート,,12,,死球,,,,,0,0,,
2026/4/11,3,表,0,0,1,○,-,-,藤川泰斗,左,津澤泰成,左,スライダー,,13,,ボール,,,,,0,0,,
2026/4/11,3,表,1,0,1,○,-,-,藤川泰斗,左,津澤泰成,左,ストレート,,7,,見逃し,,,,,0,0,,
2026/4/11,3,表,1,1,1,○,-,-,藤川泰斗,左,津澤泰成,左,ストレート,,7,,インプレー,,アウト,ゴロ,二塁手,1,0,,
2026/4/11,3,表,0,0,2,○,-,-,藤川泰斗,左,苅安 陸,右,スライダー,,7,,見逃し,,,,,0,0,,
2026/4/11,3,表,0,1,2,○,-,-,藤川泰斗,左,苅安 陸,右,ストレート,,12,,空振り,,,,,0,0,,
2026/4/11,3,表,0,2,2,○,-,-,藤川泰斗,左,苅安 陸,右,ストレート,,6,,ファウル,,,,,0,0,,
2026/4/11,3,表,0,2,2,○,-,-,藤川泰斗,左,苅安 陸,右,スライダー,,12,,ボール,,,,,0,0,,
2026/4/11,3,表,1,2,2,○,-,-,藤川泰斗,左,苅安 陸,右,チェンジアップ,,12,,ボール,,,,,0,0,,
2026/4/11,3,表,2,2,2,○,-,-,藤川泰斗,左,苅安 陸,右,スライダー,,11,,ファウル,,,,,0,0,,
2026/4/11,3,表,2,2,2,○,-,-,藤川泰斗,左,苅安 陸,右,ストレート,,12,,ボール,,,,,0,0,,
2026/4/11,3,表,3,2,2,○,-,-,藤川泰斗,左,苅安 陸,右,スライダー,,12,,ボール,四球,,,,0,0,,
2026/4/11,3,表,0,0,2,○,○,-,藤川泰斗,左,東元龍成,右,チェンジアップ,,12,,ボール,,,,,0,0,,
2026/4/11,3,表,1,0,2,○,○,-,藤川泰斗,左,東元龍成,右,ストレート,,12,内角,ボール,,,,,0,0,,
2026/4/11,3,表,2,0,2,○,○,-,藤川泰斗,左,東元龍成,右,カーブ,,12,,ボール,,,,,0,0,,
2026/4/11,3,表,3,0,2,○,○,-,藤川泰斗,左,東元龍成,右,ストレート,,7,,見逃し,,,,,0,0,,
2026/4/11,3,表,3,1,2,○,○,-,藤川泰斗,左,東元龍成,右,ストレート,,7,,見逃し,,,,,0,0,,
2026/4/11,3,表,3,2,2,○,○,-,藤川泰斗,左,東元龍成,右,ストレート,,5,,インプレー,,アウト,フライ,中堅手,1,0,,
2026/4/11,3,裏,0,0,0,-,-,-,野﨑勇一郎,右,土田悠翔,左,チェンジアップ,,12,,ボール,,,,,0,0,,
2026/4/11,3,裏,1,0,0,-,-,-,野﨑勇一郎,右,土田悠翔,左,ストレート,,3,外角,見逃し,,,,,0,0,,
2026/4/11,3,裏,1,1,0,-,-,-,野﨑勇一郎,右,土田悠翔,左,ストレート,,14,,ボール,,,,,0,0,,
2026/4/11,3,裏,2,1,0,-,-,-,野﨑勇一郎,右,土田悠翔,左,ストレート,,1,,見逃し,,,,,0,0,,
2026/4/11,3,裏,2,2,0,-,-,-,野﨑勇一郎,右,土田悠翔,左,ストレート,,2,,インプレー,,アウト,ゴロ,一塁手,1,0,,
2026/4/11,3,裏,0,0,1,-,-,-,野﨑勇一郎,右,池邉由伸,左,チェンジアップ,,14,,ボール,,,,,0,0,,
2026/4/11,3,裏,1,0,1,-,-,-,野﨑勇一郎,右,池邉由伸,左,チェンジアップ,,7,,インプレー,,アウト,ゴロ,二塁手,1,0,,
2026/4/11,3,裏,0,0,2,-,-,-,野﨑勇一郎,右,細川叶人,右,チェンジアップ,,14,,ボール,,,,,0,0,,
2026/4/11,3,裏,1,0,2,-,-,-,野﨑勇一郎,右,細川叶人,右,スライダー,,4,,インプレー,,アウト,フライ,左翼手,1,0,,
2026/4/11,4,表,0,0,0,-,-,-,藤川泰斗,左,西川晃成,右,カーブ,,7,,見逃し,,,,,0,0,,
2026/4/11,4,表,0,1,0,-,-,-,藤川泰斗,左,西川晃成,右,ストレート,,5,,インプレー,,単打,ゴロ,中堅手,0,0,,
2026/4/11,4,表,0,0,0,○,-,-,藤川泰斗,左,前谷内琉斗,左,ストレート,,3,,ファウル,,,,,0,0,,バント
2026/4/11,4,表,0,1,0,○,-,-,藤川泰斗,左,前谷内琉斗,左,スライダー,,12,,ボール,,,,,0,0,,
2026/4/11,4,表,1,1,0,○,-,-,藤川泰斗,左,前谷内琉斗,左,ストレート,,13,,ボール,,,,,0,0,,
2026/4/11,4,表,2,1,0,○,-,-,藤川泰斗,左,前谷内琉斗,左,,,3,,ファウル,,,,,0,0,,
2026/4/11,4,表,2,2,0,○,-,-,藤川泰斗,左,前谷内琉斗,左,ストレート,,1,,インプレー,,アウト,ゴロ,三塁手,1,0,,
2026/4/11,4,表,0,0,1,○,-,-,藤川泰斗,左,竹内勇輝,左,ストレート,,1,,インプレー,,アウト,ゴロ,三塁手,1,0,,
2026/4/11,4,表,0,0,2,○,-,-,藤川泰斗,左,泉 航平,左,ストレート,,11,,ファウル,,,,,0,0,,
2026/4/11,4,表,0,1,2,○,-,-,藤川泰斗,左,泉 航平,左,ストレート,,12,,ボール,,,,,0,0,,
2026/4/11,4,表,1,1,2,○,-,-,藤川泰斗,左,泉 航平,左,ストレート,,13,,ボール,,,,,0,0,,
2026/4/11,4,表,2,1,2,-,○,-,藤川泰斗,左,泉 航平,左,ストレート,,13,,ボール,,,,,0,0,,
2026/4/11,4,表,3,1,2,-,○,-,藤川泰斗,左,泉 航平,左,ストレート,,9,,見逃し,,,,,0,0,,
2026/4/11,4,表,3,2,2,-,○,-,藤川泰斗,左,泉 航平,左,ストレート,,13,,ボール,四球,,,,0,0,,
2026/4/11,4,表,0,0,2,○,○,-,藤川泰斗,左,架谷 岳,右,フォーク,,1,,インプレー,,アウト,フライ,左翼手,1,0,,
2026/4/11,4,裏,0,0,0,-,-,-,野﨑勇一郎,右,田丸晃己,右,スライダー,,1,,ファウル,,,,,0,0,,
2026/4/11,4,裏,0,1,0,-,-,-,野﨑勇一郎,右,田丸晃己,右,スライダー,,14,,空振り,,,,,0,0,,
2026/4/11,4,裏,0,2,0,-,-,-,野﨑勇一郎,右,田丸晃己,右,ストレート,,12,,ボール,,,,,0,0,,
2026/4/11,4,裏,1,2,0,-,-,-,野﨑勇一郎,右,田丸晃己,右,カーブ,,14,,インプレー,,アウト,ゴロ,遊撃手,1,0,,
2026/4/11,4,裏,0,0,1,-,-,-,野﨑勇一郎,右,山田久敬,左,ストレート,,12,外角,ボール,,,,,0,0,,
2026/4/11,4,裏,1,0,1,-,-,-,野﨑勇一郎,右,山田久敬,左,ストレート,,2,,見逃し,,,,,0,0,,
2026/4/11,4,裏,1,1,1,-,-,-,野﨑勇一郎,右,山田久敬,左,ストレート,,14,,ボール,,,,,0,0,,
2026/4/11,4,裏,2,1,1,-,-,-,野﨑勇一郎,右,山田久敬,左,チェンジアップ,,14,,ボール,,,,,0,0,,
2026/4/11,4,裏,3,1,1,-,-,-,野﨑勇一郎,右,山田久敬,左,ストレート,,4,,見逃し,,,,,0,0,,
2026/4/11,4,裏,3,2,1,-,-,-,野﨑勇一郎,右,山田久敬,左,ストレート,,11,,ファウル,,,,,0,0,,
2026/4/11,4,裏,3,2,1,-,-,-,野﨑勇一郎,右,山田久敬,左,ストレート,,14,,ボール,四球,,,,0,0,,
2026/4/11,4,裏,0,0,1,○,-,-,野﨑勇一郎,右,辻本匡登,右,ストレート,,1,,インプレー,,単打,ゴロ,三塁手,0,0,,
2026/4/11,4,裏,0,0,1,○,○,-,野﨑勇一郎,右,寶田一慧,左,ストレート,,7,,インプレー,,アウト,ゴロ,遊撃手,1,0,,
2026/4/11,4,裏,0,0,2,-,○,○,野﨑勇一郎,右,野口恭平,左,ストレート,,12,,ファウル,,,,,0,0,,
2026/4/11,4,裏,0,1,2,-,○,○,野﨑勇一郎,右,野口恭平,左,ストレート,,4,,見逃し,,,,,0,0,,
2026/4/11,4,裏,0,2,2,-,○,○,野﨑勇一郎,右,野口恭平,左,チェンジアップ,,6,,ファウル,,,,,0,0,,
2026/4/11,4,裏,0,2,2,-,○,○,野﨑勇一郎,右,野口恭平,左,スライダー,,11,,ボール,,,,,0,0,,
2026/4/11,4,裏,1,2,2,-,○,○,野﨑勇一郎,右,野口恭平,左,ストレート,,1,,空振り,空振り三振,,,,1,0,,
2026/4/11,5,表,0,0,0,-,-,-,藤川泰斗,左,山本翔士,左,スライダー,,9,,見逃し,,,,,0,0,,
2026/4/11,5,表,0,1,0,-,-,-,藤川泰斗,左,黒江優翔,左,スライダー,,13,,ボール,,,,,0,0,,
2026/4/11,5,表,1,1,0,-,-,-,藤川泰斗,左,黒江優翔,左,ストレート,,13,,ボール,,,,,0,0,,
2026/4/11,5,表,2,1,0,-,-,-,藤川泰斗,左,黒江優翔,左,ストレート,,13,,空振り,,,,,0,0,,
2026/4/11,5,表,2,2,0,-,-,-,藤川泰斗,左,黒江優翔,左,ストレート,,13,,インプレー,,単打,ライナー,左翼手,0,0,,
2026/4/11,5,表,0,0,0,○,-,-,藤川泰斗,左,津澤泰成,左,スライダー,,13,,ボール,,,,,0,0,,
